station,longitude,latitude
Temple,-0.112643564,51.5104742
Blackfriars,-0.102020251,51.51111447
Mansion House,-0.092495313,51.51130597
Cannon Street,-0.088801035,51.51096254
Monument,-0.084502291,51.51020898
Tower Hill,-0.074913869,51.50943419
Aldgate,-0.0742363,51.51398203
Liverpool Street,-0.081601363,51.5168424
Moorgate,-0.087700241,51.5178533
Barbican,-0.097189673,51.51969921
Farringdon,-0.103582415,51.51996102
King's Cross St. Pancras,-0.123168404,51.52927728
Euston Square,-0.134270582,51.52512499
Great Portland Street,-0.142685711,51.52333822
Baker Street,-0.155454387,51.52249387
Edgware Road (Circle Line),-0.166170742,51.51936413
Paddington,-0.173789485,51.51499491
Bayswater,-0.186322701,51.51181507
High Street Kensington,-0.190607248,51.49993492
Gloucester Road,-0.182135121,51.49397763
South Kensington,-0.171564291,51.49357736
Victoria,-0.141485017,51.49588954
Pimlico,-0.132103672,51.48856954
Warren Street,-0.136735811,51.52401887
Queensway,-0.185538472,51.50974305
Hyde Park Corner,-0.152546395,51.50224103
Knightsbridge,-0.159863737,51.50073061
Leicester Square,-0.126725567,51.51089472
Covent Garden,-0.122759938,51.51263471
Russell Square,-0.122662273,51.52255053
Earl's Court,-0.19157701,51.4914734
Notting Hill Gate,-0.194491212,51.5086469
Lancaster Gate,-0.173843886,51.51117805
Marble Arch,-0.155755638,51.51309055
Bond Street,-0.148076884,51.51387033
Bank,-0.08729695,51.51291511
Oxford Circus,-0.140025246,51.51481046
Holborn,-0.1188087,51.51706879
Chancery Lane,-0.109960547,51.5177395
St. Paul's,-0.095907533,51.51444286
Paddington,-0.174388339,51.51605291
Embankment,-0.120562428,51.50694137
Westminster,-0.124052209,51.50045311
Euston,-0.132992071,51.52757668
Waterloo,-0.112818812,51.50291418
Green Park,-0.140937126,51.50635747
Paddington (H&C Line),-0.17719615,51.51800497
Piccadilly Circus,-0.132081484,51.50955061
Charing Cross,-0.125777173,51.50686754
Lambeth North,-0.110624882,51.49833058
Edgware Road (Bakerloo),-0.168645951,51.51996099
Marylebone,-0.162637346,51.52165079
Regent's Park,-0.144708117,51.52277011
Sloane Square,-0.15473274,51.49182524
St. James's Park,-0.132021543,51.49905006
Goodge Street,-0.132736642,51.52009307
Tottenham Court Road,-0.128897348,51.51594793
Borough,-0.091702818,51.50067969
Old Street,-0.086025441,51.52457628
Angel,-0.103116359,51.5309796
Shoreditch High Street,-0.074700292,51.52285471
Aldgate East,-0.069540402,51.51491653
Southwark,-0.103788452,51.50377646
London Bridge,-0.088037808,51.50455372
Liverpool Street,-0.080013644,51.51752768
Liverpool Street,-0.081601363,51.5168424
TOWER GATEWAY - DLR,-0.073061976,51.51011047
BANK - DLR,-0.087316571,51.51286207
Euston,-0.131403702,51.52774704
East Putney,-0.209468663,51.45863492
Putney Bridge,-0.207131382,51.46774182
Parsons Green,-0.200166803,51.47447238
White City,-0.222866489,51.51170695
Shepherd's Bush,-0.217238899,51.50384346
Holland Park,-0.204062863,51.50664438
Brixton,-0.113288835,51.46215131
Vauxhall,-0.122646146,51.48518446
Highbury & Islington,-0.102125867,51.54691824
Caledonian Road,-0.116864262,51.54801774
Holloway Road,-0.111653531,51.55225038
Arsenal,-0.105674399,51.55811105
Manor House,-0.094452148,51.57024769
Shepherd's Bush Market,-0.224700725,51.50558155
Goldhawk Road,-0.225049873,51.50148234
Latimer Road,-0.216257476,51.51295039
Ladbroke Grove,-0.209304449,51.51681261
Royal Oak,-0.186186162,51.51854003
Westbourne Park,-0.199554267,51.52041239
Queen's Park,-0.204142926,51.53347212
Mile End,-0.032150165,51.52472507
Bethnal Green,-0.053074702,51.52672839
Rotherhithe,-0.050510094,51.50053752
Kensington (Olympia),-0.208533266,51.49722528
Finsbury Park,-0.105068129,51.56406609
Stockwell,-0.121436641,51.47131386
